# LShoulderPitch,LShoulderRoll,BlobX,BlobY
2.438640594482421875e-01,5.061781406402587891e-01,1.995224952697753906e-01,3.973919868469238392e-01
3.420400619506835938e-01,5.199840068817138672e-01,2.180132627487182673e-01,5.376742680867513391e-01
4.801001548767089844e-01,5.261199474334716797e-01,2.264816045761108565e-01,6.593697230021158262e-01
5.506639480590820312e-01,4.601581096649169922e-01,3.101777553558349720e-01,7.933410008748372766e-01
5.414600372314453125e-01,2.699420452117919922e-01,4.587384223937988614e-01,7.835442225138345984e-01
5.307221412658691406e-01,1.242120265960693359e-01,6.267431735992432529e-01,8.419926325480142637e-01
3.251659870147705078e-01,-4.452800750732421875e-02,7.000711917877198154e-01,5.185126940409342522e-01
2.131841182708740234e-01,-5.373191833496093750e-02,7.184155941009522373e-01,3.137241045633951675e-01
2.131841182708740234e-01,-1.595778465270996094e-01,8.442150115966797763e-01,3.251661936442057366e-01
3.635160923004150391e-01,-2.102000713348388672e-01,8.796007156372070979e-01,4.484374999999999889e-01
4.187400341033935547e-01,-1.841220855712890625e-01,8.475547790527344638e-01,6.696640650431314734e-01
5.123140811920166016e-01,-1.212279796600341797e-01,7.842013835906982422e-01,8.093799591064453347e-01
3.512439727783203125e-01,-3.992605209350585938e-02,6.922674179077148438e-01,5.264879862467447547e-01
1.947760581970214844e-01,-6.907200813293457031e-02,7.382602214813233088e-01,2.895157496134440067e-01
