HeadYaw, HeadPitch, LShoulderPitch, LShoulderRoll, LElbowYaw, LElbowRoll, LWristYaw, LHand, LHipYawPitch, LHipRoll, LHipPitch, LKneePitch, LAnklePitch, LAnkleRoll, RHipYawPitch, RHipRoll, RHipPitch, RKneePitch, RAnklePitch, RAnkleRoll, RShoulderPitch, RShoulderRoll, RElbowYaw, RElbowRoll, RWristYaw, RHand, BlobX, BlobY
3.865261077880859375e-01,4.751205444335937500e-02,2.285239696502685547e-01,1.073379516601562500e-01,-1.153610229492187500e+00,-8.206479549407958984e-01,-1.222640037536621094e+00,2.003999948501586914e-01,-4.137611389160156250e-02,-1.088719367980957031e-01,-9.479701519012451172e-01,2.112546443939208984e+00,-1.189441919326782227e+00,7.501578330993652344e-02,-4.137611389160156250e-02,6.293606758117675781e-02,-9.649281501770019531e-01,2.112546443939208984e+00,-1.186300277709960938e+00,-7.512402534484863281e-02,1.673635959625244141e+00,-1.058878898620605469e-01,1.702698111534118652e+00,1.153610229492187500e+00,-2.918791770935058594e-02,3.600001335144042969e-03,1.898677215576171875e+02,1.181428604125976562e+02
3.849921226501464844e-01,4.751205444335937500e-02,2.116501331329345703e-01,1.441540718078613281e-01,-1.153610229492187500e+00,-8.206479549407958984e-01,-1.222640037536621094e+00,2.003999948501586914e-01,-3.984212875366210938e-02,-1.088719367980957031e-01,-9.479701519012451172e-01,2.112546443939208984e+00,-1.189441919326782227e+00,7.501578330993652344e-02,-3.984212875366210938e-02,6.293606758117675781e-02,-9.664621353149414062e-01,2.112546443939208984e+00,-1.186300277709960938e+00,-7.512402534484863281e-02,1.673635959625244141e+00,-1.058878898620605469e-01,1.702698111534118652e+00,1.153610229492187500e+00,-2.918791770935058594e-02,3.600001335144042969e-03,1.819543914794921875e+02,1.131368408203125000e+02
3.849921226501464844e-01,4.904603958129882812e-02,1.993780136108398438e-01,2.147181034088134766e-01,-1.152075767517089844e+00,-8.206479549407958984e-01,-1.222640037536621094e+00,2.003999948501586914e-01,-4.137611389160156250e-02,-1.088719367980957031e-01,-9.479701519012451172e-01,2.112546443939208984e+00,-1.189441919326782227e+00,7.501578330993652344e-02,-4.137611389160156250e-02,6.293606758117675781e-02,-9.649281501770019531e-01,2.112546443939208984e+00,-1.186300277709960938e+00,-7.586973160505294800e-02,1.672101974487304688e+00,-1.058878898620605469e-01,1.702698111534118652e+00,1.155144214630126953e+00,-2.918791770935058594e-02,3.600001335144042969e-03,1.819543914794921875e+02,1.131368408203125000e+02
3.849921226501464844e-01,4.751205444335937500e-02,1.717660427093505859e-01,3.006219863891601562e-01,-1.153610229492187500e+00,-8.206479549407958984e-01,-1.222640037536621094e+00,2.003999948501586914e-01,-4.137611389160156250e-02,-1.088719367980957031e-01,-9.479701519012451172e-01,2.112546443939208984e+00,-1.189441919326782227e+00,7.501578330993652344e-02,-4.137611389160156250e-02,6.293606758117675781e-02,-9.649281501770019531e-01,2.112546443939208984e+00,-1.186300277709960938e+00,-7.512402534484863281e-02,1.672101974487304688e+00,-1.058878898620605469e-01,1.702698111534118652e+00,1.153610229492187500e+00,-2.918791770935058594e-02,3.600001335144042969e-03,1.819543914794921875e+02,1.131368408203125000e+02
3.849921226501464844e-01,4.904603958129882812e-02,4.110701084136962891e-01,3.328361511230468750e-01,-1.159746170043945312e+00,-7.930359840393066406e-01,-1.310078144073486328e+00,2.003999948501586914e-01,-4.137611389160156250e-02,-1.088719367980957031e-01,-9.495041370391845703e-01,2.112546443939208984e+00,-1.189441919326782227e+00,7.501578330993652344e-02,-4.137611389160156250e-02,6.293606758117675781e-02,-9.695301055908203125e-01,2.112546443939208984e+00,-1.186300277709960938e+00,-7.512402534484863281e-02,1.672101974487304688e+00,-1.058878898620605469e-01,1.702698111534118652e+00,1.153610229492187500e+00,-2.918791770935058594e-02,3.600001335144042969e-03,1.136598205566406250e+02,1.727214660644531250e+02
3.865261077880859375e-01,4.904603958129882812e-02,4.647600650787353516e-01,3.926620483398437500e-01,-1.159746170043945312e+00,-7.915019989013671875e-01,-1.310078144073486328e+00,2.003999948501586914e-01,-4.137611389160156250e-02,-1.088719367980957031e-01,-9.495041370391845703e-01,2.112546443939208984e+00,-1.189441919326782227e+00,7.501578330993652344e-02,-4.137611389160156250e-02,6.293606758117675781e-02,-9.695301055908203125e-01,2.112546443939208984e+00,-1.186300277709960938e+00,-7.512402534484863281e-02,1.673635959625244141e+00,-1.058878898620605469e-01,1.702698111534118652e+00,1.155144214630126953e+00,-2.918791770935058594e-02,3.600001335144042969e-03,1.035090789794921875e+02,1.881254119873046875e+02
3.849921226501464844e-01,4.751205444335937500e-02,5.000419616699218750e-01,5.491299629211425781e-01,-1.159746170043945312e+00,-7.884340286254882812e-01,-1.310078144073486328e+00,2.003999948501586914e-01,-4.137611389160156250e-02,-1.088719367980957031e-01,-9.495041370391845703e-01,2.112546443939208984e+00,-1.189441919326782227e+00,7.501578330993652344e-02,-4.137611389160156250e-02,6.447005271911621094e-02,-9.679961204528808594e-01,2.112546443939208984e+00,-1.186300277709960938e+00,-7.512402534484863281e-02,1.673635959625244141e+00,-1.058878898620605469e-01,1.702698111534118652e+00,1.153610229492187500e+00,-2.918791770935058594e-02,3.600001335144042969e-03,6.360486984252929688e+01,1.922350158691406250e+02
3.849921226501464844e-01,4.751205444335937500e-02,4.862360954284667969e-01,6.488399505615234375e-01,-1.159746170043945312e+00,-7.884340286254882812e-01,-1.310078144073486328e+00,2.003999948501586914e-01,-4.137611389160156250e-02,-1.088719367980957031e-01,-9.479701519012451172e-01,2.112546443939208984e+00,-1.189441919326782227e+00,7.501578330993652344e-02,-4.137611389160156250e-02,6.293606758117675781e-02,-9.679961204528808594e-01,2.112546443939208984e+00,-1.186300277709960938e+00,-7.512402534484863281e-02,1.673635959625244141e+00,-1.058878898620605469e-01,1.702698111534118652e+00,1.153610229492187500e+00,-3.072190284729003906e-02,3.600001335144042969e-03,3.479854965209960938e+01,1.844579772949218750e+02
3.849921226501464844e-01,4.904603958129882812e-02,3.819241523742675781e-01,6.488399505615234375e-01,-1.159746170043945312e+00,-7.899680137634277344e-01,-1.310078144073486328e+00,2.003999948501586914e-01,-4.137611389160156250e-02,-1.088719367980957031e-01,-9.479701519012451172e-01,2.112546443939208984e+00,-1.189441919326782227e+00,7.501578330993652344e-02,-4.137611389160156250e-02,6.293606758117675781e-02,-9.664621353149414062e-01,2.112546443939208984e+00,-1.186300277709960938e+00,-7.512402534484863281e-02,1.673635959625244141e+00,-1.058878898620605469e-01,1.702698111534118652e+00,1.153610229492187500e+00,-2.918791770935058594e-02,3.600001335144042969e-03,3.586666488647460938e+01,1.721166687011718750e+02
3.849921226501464844e-01,4.751205444335937500e-02,4.847021102905273438e-01,-4.759597778320312500e-02,-1.152075767517089844e+00,-7.991721630096435547e-01,-1.268660068511962891e+00,2.003999948501586914e-01,-4.291009902954101562e-02,-1.088719367980957031e-01,-9.479701519012451172e-01,2.106140136718750000e+00,-1.188891887664794922e+00,7.516529411077499390e-02,-4.291009902954101562e-02,6.293606758117675781e-02,-9.695301055908203125e-01,2.112546443939208984e+00,-1.186300277709960938e+00,-7.586973160505294800e-02,1.673635959625244141e+00,-1.058878898620605469e-01,1.702698111534118652e+00,1.153610229492187500e+00,-2.918791770935058594e-02,3.600001335144042969e-03,2.313981018066406250e+02,2.152690582275390625e+02
